aa	Afaraf
knx-x-ahe	Dayak Kanayate Ahe
knx-x-baajeaje	Be,aje
knx-x-baape	Dayak Baape
knx-x-bajanya	Dayak Bajanya
knx-x-bajare	Dayak Bajare
knx-x-dayakahe	Dayak Ahe
knx-x-dayakmuara	Dayak Muara
knx-x-jawant	Dayak Jawant
knx-x-punangongsolok	Punan Gong Solok
knx-x-redundantahe	Dayak Ahe
kn-x-yalavaru	Yalavaru
kn-x-yeddumar	Yeddumarigi
kny	Kanyok
knz	Kalamsé
ko	한국어, 조선어
koa	Konomala
kod	Kodi
kod-x-gaura	Gaura
koe	Kacipo-Balesi
kof	Kubi
kog	Cogui
koh	Koyo
koi	Коми-пермяцкий
kok	Konkani (macrolanguage)
kol	Kol (Papua New Guinea)
koo	Konzo
kop	Waube
koq	Kota (Gabon)
kos	Kosraean
kot	Lagwan
kou	Koke
kov	Kudu-Camo
kow	Kugama
koy	Koyukon
koz	Korak
koz-x-amako	Amako
kpa	Kutto
kpb	Mullu Kurumba
kpc	Curripaco
kpd	Koba
kpe	Kpelle
kpf	Komba
kpg	Kapingamarangi
kph	Kplang
kpi	Kofei
kpj	Karajá
kpk	Kpan
kpl	Kpala
kpm	Kơho
kpo	Ikposo
kpq	Korupun-Sela
kpr	Korafe-Yegha
kps	Tehit
kps-x-gemna	Gemna
kps-x-kaigar	Kaigar
kps-x-mlafle	Mlafle
kps-x-mlakaya	Mlakaya
kpt	Каратинский
kpu	Kafoa
kpv	Ко́ми-зыря́нский
kpw	Kobon
kpw-x-kou	Kou
kpx	Mountain Koiali
kpy	Корякский
kpz	Kupsabiny
kqa	Mum
kqa-x-kandiki	Kandiki
kqa-x-madulap	Madulap
kqa-x-mamamokan	Mamamokan
kqb	Kovai
kqc	Doromu-Koki
kqd	ܣܘܪܬ
kqe	Kalagan
kqf	Kakabai
kqg	Khe
kqh	Kisankasa
kqi	Koita Ga
kqj	Koromira
kqk	Kotafon Gbe
kql	Kyenele
kqm	Khisa
kqn	Kaonde
kqn-x-lubango	Lubango
kqo	Eastern Krahn
kqp	Kimré
kqq	Krenak
kqr	Kimaragang
kqr-x-sandayo	Sandayo
kqr-x-sonsogon	Sonsogon
kqs	Northern Kissi
kqt	Klias River Kadazan
kqv	Okolod
kqw	Kandas
kqx	Mser
kqy	Koorete
kqz	Korana
kr	Kanuri
kra	Kumhali
krb	Karkin
krc	Карачаево-балкарский
krd	Kairui-Midiki
kre	Panará
krf	Koro (Vanuatu)
krh	Kurama
kri	Krio
krj	Kinaray-A
krk	Керекский
krl	Карельский
krm	Krim
krn	Sapo
krp	Korop
krr	Kru'ng 2
krr-x-lun	Lun
krs	Gbaya
krt	Tumari Kanuri
kru	Kurukh
kru-x-shaddri	Shaddri Uraw
krv	Kavet
krw	Western Krahn
krx	Karon
kry	Qrız dili
krz	Sota Kanum
ksa	Shuwa-Zamani
ksb	Shambala
ksc	Southern Kalinga
ksc-x-isumadel	Isumadel
ksc-x-tulgao	Kalinga Tulgao
ksc-x-tulgo	Kalinga Tulgo
ksd	Kuanua
kse	Kuni
ksf	Bafia
ksg	Kusaghe
ksh	Kölsch
ksi	Krisa
ksj	Uare
ksk	Kansa
ksl	Kumalu
ksm	Kumba
ksn	Kasiguranin
kso	Kofa
ksp	Kaba
ksq	Kwaami
ksr	Borong
kss	Southern Kisi
kss-x-southkissi	Southern Kissi
kst	Winyé
ksu	Khamyang
ksu-x-shyam	Shyam
ksv	Kusu
ksw	S'gaw Karen
ksx	Kedang
ksy	Kharia Thar
ksz	Kodaku
kta	Katua
ktb	Kambaata
ktc	Kholok
ktd	Kokata
kte	Nubri
ktf	Kwami
kth	Karanga
kti	North Muyu
ktj	Plapo Krumen
ktl	کوروشی
ktm	Kurti
ktn	Karitiâna
kto	Kuot
ktp	卡多
ktr	Kota Marudu Tinagas
kts	South Muyu
ktt	Ketum
ktu	Kituba (Democratic Republic of Congo)
ktu-x-kimboma	Kimboma
ktu-x-kiyaleta	Kikongo ya leta
ktv	Eastern Katu
ktw	Kato
ktx	Kaxararí
kty	Kango (Bas-Uélé District)
ktz	Ju/'hoan
ku	Kurdî, كوردی‎
kub	Kutep
kuc	Kwinsu
kud	'Auhelawa
kue	Kuman (Papua New Guinea)
kue-x-bari	Bari
kue-x-kakondo	Kakondo
kue-x-koro	Koro
kue-x-segega	Segega
kuf	Western Katu
kug	Kupa
kuh	Kushi
kui	Kuikúro-Kalapálo
kuj	Kuria
kuk	Kepo'
kul	Kulere
kum	Кумыкский
kun	Kunama
kuo	Kumukio
kup	Gunimaipa
kup-x-eromsai	Erom Sai
kup-x-eromtaira	Erom Taira
kup-x-karuama	Karuama
kuq	Karipuna
kus	Kusaal
kut	Kutenai
kuu	Upper Kuskokwim
kuv	Kur
kuw	Kpagua
kux	Kukatja
kuy	Kuuku-Ya'u
kuz	Kunza
kv	коми кыв
kva	Багвалинский
kvb	Kubu
kvc	Kove
kvd	Kui (Indonesia)
kve	Kalabakan
kvf	Kabalai
kvg	Kuni-Boazi
kvh	Komodo
kvi	Kwang
kvj	Psikye
kvk	Korean Sign Language
kvl	Kayaw
kvm	Kendem
kvn	Border Kuna
kvo	Dobel
kvp	Kompane
kvq	Geba Karen
kvr	Kerinci
kvr-x-talangmamak	Talang Mamak
kvs	Kunggara
kvt	Lahta Karen
kvu	Yinbaw Karen
kvv	Kola
kvw	Wersing
kvx	Parkari Koli
kvy	Yintale Karen
kvz	Tsakwambo
kw	Kernewek
kwa	Dâw
kwb	Kwa
kwc	Likwala
kwd	Kwaio
kwe	Kwerba
kwf	Kwara'ae
kwg	Sara Kaba Deme
kwh	Kowiai
kwi	Awa-Cuaiquer
kwj	Kwanga
kwk	Kwakiutl
kwl	Kofyar
kwl-x-jipal	Jipal
kwm	Kwambi
kwn	Kwangali
kwn-BW-kwangali	Kwangali
kwo	Kwomtari
kwp	Kodia
kwr	Kwer
kws	Kwese
kwt	Kwesten
kwu	Kwakum
kwv	Sara Kaba Náà
kww	Kwinti
kwx	Khirwar
kwy	San Salvador Kongo
kxa	Kairiru
kxb	Krobu
kxc	Konso
kxd	Brunei
kxf	Manumanaw Karen
kxh	Karo (Ethiopia)
kxi	Keningau Murut
kxj	Kulfa
kxk	Zayein Karen
kxl	कुड़ुख़
kxm	Northern Khmer
kxn	Kanowit-Tanjong Melanau
kxo	Kanoé
kxp	Wadiyara Koli
kxq	Smärky Kanum
kxr	Koro (Papua New Guinea)
kxs	康家语
kxt	Koiwat
kxu	Kui (India)
kxv	Kuvi
kxw	Konai
kxx	Likuba
kxy	Kayong
kxz	Kerewo
ky	Кыргызча, Кыргыз тили
kya	Kwaya
kya-x-ruri	Ruri
kyb	Butbut Kalinga
kyc	Kyaka
kyd	Karey
kye	Krache
kyf	Kouya
kyg	Keyagana
kyh	Karok
kyi	Kiput
kyj	Karao
kyk	Kamayo
kyk-x-cortesanon	Cortesanon
kyk-x-tagonon	Tagon-on
kym	Kpatili
kyn	Northern Binukidnon
kyo	Kelon
kyp	Kang
kyq	Kenga
kyr	Kuruáya
kys	Baram Kayan
kyt	Kayagar
kyu	Western Kayah
kyv	Kayort
kyw	Kudmali
kyx	Rapoisi
kyy	Kambaira
kyz	Kayabí
kza	Western Karaboro
kzb	Kaibobo
kzc	Bondoukou Kulango
kzd	Kadai
kze	Kosena
kzf	Da'a Kaili
kzg	しまゆみた
kzi	Kelabit
kzj	Coastal Kadazan
kzl	Kayeli
kzm	Kais
kzn	Kokola
kzo	Kaningi
kzp	Kaidipang
kzp-x-bolangitan	Bolangitan
kzq	Kaike
kzr	Karang
kzs	Sugut Dusun
kzt	Tambunan Dusun
kzu	Kayupulau
kzv	Komyandaret
kzw	Karirí-Xocó
kzx	Kamarian
kzy	Kango (Tshopo District)
kzz	Kalabra
la	latine, lingua latina
laa	Southern Subanen
lab	Linear A
lac	Lacandon
lad	Ladino
lae	Pattani
laf	Lafofa
lag	Langi
lah	Lahnda
lai	Lambya
lai-x-bandya	Bandya
laj	Lango (Uganda)
lak	Laka (Nigeria)
lal	Lalia
lam	Lamba
lan	Laru
lao-x-laonhook	Lao Nhook
lao-x-laotiene	Lao tiene
lao-x-vientiane	Lao-Vientiane
lap	Laka (Chad)
laq	Qabiao
lar	Larteh
las	Lama (Togo)
lau	Laba
law	Lauje
lax	Tiwa
lay	Lama Bai
lb	Lëtzebuergesch
lbb	Label
lbc	拉珈语
lbe	Лакский
lbf	Tinani
lbg	Laopang
lbi	La'bi
lbj	Ladakhi
lbk	Central Bontok
lbl	Libon Bikol
lbm	Lodhi
lbn	Lamet
lbo	Laven
lbo-x-champasak	Laven Champasak
lbo-x-lavenxekon	Laven Xekong
lbq	Wampar
lbr	Lohorung
lbs	لغة الإشارة الليبية
lbt	Lachi
lbu	Labu
lbv	Lavatbura-Lamusong
lbw	Tolaki
lbx	Lawangan
lbx-x-bantian	Dayak Bantian
lbx-x-capuracu	Capur Acu
lbx-x-dayakbenua	Dayak Benua
lbx-x-dayakpasir	Dayak Pasir
lbx-x-dayakpaus	Dayak Paus
lbx-x-lomgbenuang	Long Benuang
lbx-x-mantarapkabut	Dayak Mantarap Kabut
lby	Lamu-Lamu
lbz	Lardil
lcc	Legenyem
lcd	Lola
lce	Loncong
lcf	Lubu
lch	Luchazi
lch-ZM-luchazi	Luchazi
lcl	Lisela
lcm	Tungag
lcp	Western Lawa
lcq	Luhu
lcs	Lisabata-Nuniali
lda	Kla-Dan
ldb	Dũya
ldg	Lenyima
ldh	Lamja-Dengsa-Tola
ldi	Laari
ldj	Lemoro
ldk	Leelau
ldl	Kããn
ldm	Landoma
ldn	Láadan
ldo	Loo
ldp	Tso
ldp-x-chobbo	Chobbo
ldq	Lufu
lea	Lega-Shabunda
leb	Lala-Bisa
leb-x-lala	Lala
leb-x-mbo	Mbo
leb-x-swaka	Swaka
lec	Leco
led	Lendu
lee	Lyélé
lef	Lelemi
leh	Lenje
lei	Lemio
lej	Lengola
lek	Leipon
lel	Lele (Democratic Republic of Congo)
lem	Nomaande
len	Lenca
leo	Leti (Cameroon)
lep	Lepcha
leq	Lembena
ler	Lenkau
les	Lese
let	Lesing-Gelimi
leu	Kara (Papua New Guinea)
lev	Lamma
lew	Ledo Kaili
lex	Luang
ley	Lemolang
lez	Лезгинский
lfa	Lefa
lfn	Lingua Franca Nova
lg	Luganda
lga	Lungga
lgb	Laghu
lgg	Lugbara
lgh	Laghuu
lgi	Lengilu
lgk	Lingarak
lgl	Wala
lgm	Lega-Mwenga
lgm-x-kinangozi	Kinangozi
lgm-x-kirega	Kirega
lgn	Opuuo
lgq	Logba
lgr	Lengo
lgt	Pahi
lgu	Longgu
lgw	Lougwau
lgz	Ligenza
lha	Laha (Viet Nam)
lhh	Laha (Indonesia)
lhi	拉祜西语
lhl	Lahul Lohar
lhm	ल्होमी
lhn	Lahanan
lhp	Lhokpu
lht	Lo-Toga
lhu	拉祜语
lhu-x-redlahu	Red Lahu
li	Limburgs
lia	West-Central Limba
lib	Likum
lic	黎语
lic-x-runli	Run Li
lid	Nyindrou
lie	Likila
lif	लिम्बू
lig	Ligbi
lih	Lihir
lij	Ligurian
lik	Lika
lil	Lillooet
lin-x-linmilitar	Military Lingala
lio	Liki
lip	Sekpele
liq	Libido
lir	Liberian English
lis	傈僳语
lis-x-hualisu	Hua Lisu
lis-x-xiaxia	Xia Xia
liu	Logorik
liu-x-logori	Logori
liu-x-saburi	Saburi
liv	Liv
liw	Col
liw-x-lembak	Lembak Delapan
lix	Liabuku
liy	Banda-Bambari
liz	Libinza
lje	Rampi
lji	Laiyolo
ljl	Li'o
ljp	Lampung Api
ljp-x-lampungpesisir	Lampung Pesisir
ljw	Yirandali
lka	Lakalei
lkb	Kabras
lkc	Kucong
lkd	Lakondê
lke	Kenyi
lkh	Lakha
lki	لەکی
lkj	Remun
lkl	Laeko-Libuat
lkn	Lakon
lko	Khayo
lkr	Päri
lks	Kisa
lkt	Lakota
lky	Lokoya
lla	Lala-Roba
llb	Lolo
llc	Lele (Guinea)
lld	Ladin
lle	Lele (Papua New Guinea)
llg	Lole
llg-x-kolobolon	Kolobolon
llh	Lamu
lli	Teke-Laali
lll	Lilau
llm	Lasalimu
lln	Lele (Chad)
llo	Khlor
llp	North Efate
llp-x-buninga	Buninga
llp-x-emau	Emau
llp-x-nguna	Nguna
llp-x-paunagisu	Paunagisu
llq	Lolak
lls	Lithuanian Sign Language
llu	Lau
llu-x-ndai	Ndai
llu-x-suafa	Suafa
llx	Lauan
lma	East Limba
lmb	Merei
lmd	Lumun
lme	Pévé
lmf	South Lembata
lmg	Lamogai
lmh	Lambichhong
lmi	Lombi
lmj	West Lembata
lmj-x-lembeleape	Lembata Eleape
lmk	Lamkang
lml	Hano
lmn	Lambadi
lmn-x-anjara	Anjara
lmn-x-gormati	Gormati
lmo	Lombard
lmp	Limbum
lmq	Lamatuka
lmr	Lamalera
lmu	Lamenu
lmv	Lomaiviti
lmv-x-levuka	Levuka
lmw	Lake Miwok
lmx	Laimbue
lmy	Lamboya
lmz	Lumbee
ln	Lingála
lna	Langbashe
lnb	Mbalanhu
lnd	Lundayeh
lnd-x-dayaktabun	Dayak Tabun
lnd-x-pabawan	Lundayeh Pa'bawan
lng	Langobardic
lnh	Lanoh
lni	Daantanai'
lnl	South Central Banda
lnm	Langam
lnn	Lorediakarkar
lno	Lango (Sudan)
lno-x-okolie	Okolie
lns	Lamnso'
lnu	Longuda
lnz	Lonzo
lnz-x-kilonzo	Kilonzo
lo	ພາສາລາວ
loa	Loloda
lob	Lobi
loc	Inonhan
loe	Saluan
loe-x-saluanboloa	Saluan Boloa
lof	Logol
log	Logo
loh	Narim
loi	Loma (Côte d'Ivoire)
loj	Lou
lok	Loko
lol	Mongo-Lotwa
lol-x-besongo	Besongo
lol-x-bilangi	Bilangi
lol-x-boangi	Boangi
lol-x-bokatola	Bokatola
lol-x-booli	Booli
lol-x-bukala	Bukala
lol-x-emoma	Emoma
lol-x-ikongo	Ikongo
lol-x-iyembe	Iyembe
lol-x-langondjo	Langondjo
lol-x-lionje	Lionje
lol-x-lokatoladeduali	Lokatola de Duali
lol-x-lokonda	Lokonda
lol-x-lokulnua	Lokolnua
lol-x-londjolo	Londjolo
lol-x-longo	Longo
lol-x-longombe	Longombe
lol-x-lontomba	Lontomba
lol-x-losanga	Losanga
lol-x-lotswano	Lotswa North
lol-x-lotswaso	Lotswa South
lol-x-lotunube	Lotunube
lol-x-lotwanor	Mongo-Lotwa North
lol-x-lotwasou	Mongo-Lotwa South
lol-x-loubala	Loubala
lom	Loma (Liberia)
lon	Malawi Lomwe
loo	Lombo
lop	Lopa
loq	Lobala
loq-x-likoka	Likoka
loq-x-lokoka	Lokoka
lor	Téén
los	Loniu
lot	Otuho
lou	Louisiana Creole French
lov	水田
low	Tampias Lobu
loy	ल्होवा
loz	Lozi
lpa	Lelepa
lpe	Lepki
lpn	Long Phuri Naga
lpo	里泼
lpx	Lopit
lra	Rara Bakati'
lra-x-dayaksuruh	Dayak Suruh
lrc	لُری
lre	Laurentian
lrg	Laragia
lri	Marachi
lrk	Loarki
lrl	اچمی
lrm	Marama
lrn	Lorang
lro	Laro
lrr	Southern Yamphu
lrt	Larantuka Malay
lrv	Larevat
lrz	Lemerig
lsa	Lasgerdi
lsb	Burundian Sign Language
lsd	לשנא דני
lse	Lusengo
lsg	Lyons Sign Language
lsh	Lish
lsi	Lashi
lsl	Latvian Sign Language
lsm	Saamia
lsm-x-lugwe	Lugwe
lso	Laos Sign Language
lsp	Panamanian Sign Language
lsr	Aruop
lss	Lasi
lst	Trinidad and Tobago Sign Language
lsy	Mauritian Sign Language
lt	lietuvių kalba
ltc	Late Middle Chinese
ltg	Latgalian
lti	Leti (Indonesia)
ltn	Latundê
lto	Tsotso
lts	Tachoni
ltu	Latu
lu	Tshiluba
lua	Luba-Lulua
luc	Aringa
lud	Людиковское наречие
lue	Luvale
lui	Luiseno
luj	Luna
luk	Lunanakha
lul	Olu'bo
lum	Luimbi
lun	Lunda
lun-x-lundakoosa	Lunda Koosa
luo	Luo (Kenya and Tanzania)
luo-x-lusonga	Lusonga
lup	Lumbu
luq	Lucumi
lur	Laura
lus	Lushai
lut	Lushootseed
luu	Lumba-Yakkha
luv	Luwati
luw	Luo (Cameroon)
luy	Luyia
luz	لُری
lv	latviešu valoda
lva	Maku'a
lvk	Lavukaleve
lvs	Standard Latvian
lvu	Levuka
lwa	Lwalu
lwe	Lewo Eleng
lwg	Wanga
lwh	White Lachi
lwl	ภาษาเลอเวือะตะวันออก
lwm	Laomian
lwo	Luwo
lws	Malawian Sign Language
lwt	Lewotobi
lwu	Lawu
lww	Lewo
lya	Layakha
lyg	Lyngngam
lyn	Luyana
lzh	Literary Chinese
lzl	Litzlitz
lzn	Leinong Naga
lzz	Laz
maa	San Jerónimo Tecóatl Mazatec
mab	Yutanduchi Mixtec
mad	Madurese
mae	Bo-Rukul
maf	Mafa
mag	Magahi
mai	Maithili
mai-x-bajjika	Bajjika
mai-x-dehati	Dehati Bhojouri
mai-x-thethi	Thethi
maj	Jalapa De Díaz Mazatec
mak	Makasar
mam	Mam
man	Mandingo
maq	Chiquihuitlán Mazatec
mar-x-ghondali	Gondhali
mar-x-junu	Junu Marathi
mar-x-kokani	Kokani
mar-x-kothli	Kothli
mar-x-maratha	Maratha/Beda
mar-x-mayalamarat	Mayalamarathian
mar-x-tadvi	Tadvi
mas	Masai
mas-x-	Dorobo
mat	San Francisco Matlatzinca
mau	Huautla Mazatec
mav	Sateré-Mawé
maw	Mampruli
max	North Moluccan Malay
maz	Central Mazahua
mba	Higaonon
mbb	Western Bukidnon Manobo
mbb-x-arumanen	Arumanen
mbb-x-kiriyenteken	Kiriyenteken
mbb-x-pulangiyan	Pulangiyen
mbb-x-pulangiyen	Manobo Pulangiyen
mbc	Macushi
mbd	Dibabawon Manobo
mbf	Baba Malay
mbh	Mangseng
mbh-x-kukura	Kukura
mbh-x-kupi	Kupi
mbh-x-marapu	Oraini
mbi	Ilianen Manobo
mbj	Nadëb
mbk	Malol
mbl	Maxakalí
mbm	Ombamba
mbn	Macaguán
mbo	Mbo (Cameroon)
mbp	Malayo
mbq	Maisin
mbq-x-abiosoveaki	Abiosoveaki
mbq-x-gauga	Gauga
mbq-x-kosira	Kosira
mbr	Nukak Makú
mbs	Sarangani Manobo
mbs-x-piyabawa	Piyabawa Manobo
mbt	Tigwa, Tigwahanen
mbt-x-kulamanen	Kulamanen
mbt-x-tigwa	Tigwa, Tigwahanen
mbt-x-tingod	Tala Ingod Manobo
mbu	Mbula-Bwazza
mbv	Mbulungish
mbw	Maring
mbx	Mari (East Sepik Province)
mby	Memoni
mbz	Amoltepec Mixtec
mca	Maca
mcb	Machiguenga
mcc	Bitur
mcd	Sharanahua
mce	Itundujia Mixtec
mcf	Matsés
mcg	Mapoyo
mch	Dhe'cwana
mci	Mese
mcj	Mvanip
mck	Mbunda
mck-ZM-mbunda	Mbunda
mcl	Macaguaje
mcm	Malaccan Creole Portuguese
mcn	Masana
mco	Coatlán Mixe
mcp	Makaa
mcq	Ese
mcq-x-akabafa	Akabafa
mcq-x-oikol	Oikol
mcr	Menya
mcs	Mambai
mct	Mengisa
mcu	Cameroon Mambila
mcu-x-miniwa	Miniwa
mcu-x-ndeba	Ndeba
mcu-x-tong	Tong
mcv	Minanibai
mcw	Mawa (Chad)
mcx	Mpiemo
mcy	South Watut
mcz	Mawan
mda	Mada (Nigeria)
mdb	Morigi
mdc	Male (Papua New Guinea)
mdc-x-kaliku	Kaliku
mdd	Mbum
mde	Maba (Chad)
mdf	Мокшанский
mdg	Masalit
mdh	Maguindanaon
mdh-x-dananao	Dananao
mdi	Mamvu
mdj	Mangbetu
mdj-x-	Malele
mdj-x-medje	Medje
mdk	Mangbutu
mdl	Maltese Sign Language
mdm	Mayogo
mdn	Mbati
mdp	Mbala
mdq	Mbole
mdr	Mandar
mds	Maria (Papua New Guinea)
mdt	Mbere
mdu	Mboko
mdv	Santa Lucía Monteverde Mixtec
mdw	Mbosi
mdx	Dizin
mdy	Male (Ethiopia)
mdz	Suruí Do Pará
mea	Menka
meb	Ikobi
mec	Mara
med	Melpa
mee	Mengen
mef	Megam
meh	Southwestern Tlaxiaco Mixtec
mei	Midob
mej	Meyah
mek	Mekeo
mek-x-inafangan	Inanfangan
mek-x-nmekioupst	North Mekio Upstream
mek-x-northmekeo	North Mekeo
mel	Central Melanau
mem	Mangala
men	Mende (Sierra Leone)
meo	Kedah Malay
mep	Miriwung
meq	Merey
mer	Meru
mes	Masmaje
met	Mato
meu	Motu Elevala
mev	Mano
mew	Maaka
mey	حسانية
mey-MA-hassaniya	Hassaniya (Morocco)
mey-MR-hassaniya	Hassaniya (Mauritania)
mey-NE-hassaniya	Hassaniya (Niger)
mey-SN-hassaniya	Hassaniya (Senegal)
mez	Menominee
mfa	Pattani Malay
mfb	Bangka
mfc	Mba
mfd	Mendankwe-Nkwen
mfe	Morisyen
mff	Naki
mfg	Mogofin
mfh	Matal
mfi	Wandala
mfj	Mefele
mfk	North Mofu
mfl	Putai
mfm	Marghi South
mfn	Cross River Mbembe
mfo	Mbe
mfp	Makassar Malay
mfq	Moba
mfq-x-mual	Mual
mfr	Marithiel
mfs	Mexican Sign Language
mft	Mokerang
mfu	Mbwela
mfv	Mandjak
mfx	Melo
mfy	Mayo
mfz	Mabaan
mg	fiteny malagasy
mga	Middle Irish (900-1200)
mgb	Mararit
mgc	Morokodo
mgc-x-bitti	Bitti
mgd	Moru
mge	Mango
mgf	Maklew
mgg	Mpumpong
mgg-x-kunabembe	Kunabembe
mgg-x-mpoman	Mpoman
mgh	Makhuwa-Meetto
mgi	Lijili
mgj	Abureni
mgk	Mawes
mgl	Maleu
mgl-x-gaulapua	Gaulapua
mgl-x-kilenge	Kilenge
mgl-x-somate	Somate
mgm	Mambae
mgn	Mbangi
mgo	Meta'
mgp	Eastern Magar
mgq	Malila
mgr	Mambwe-Lungu
mgr-MW-chimambwe	Chimambwe
mgs	Manda
mgt	Mongol
mgu	Mailu
mgu-x-derebai	Derebai
mgv	Matengo
mgw	Matumbi
mgy	Mbunga
mgz	Mbugwe
mh	Kajin M̧ajeļ
mha	Manda (India)
mhb	Mahongwe
mhc	Mocho
mhd	Mbugu
mhe	Besisi
mhf	Mamaa
mhg	Margu
mhi	Ma'di
mhi-x-burolo	Burolo
mhj	Mogholi
mhk	Mungaka
mhl	Mauwake
mhl-x-alesuwaw	Alesuwaw
mhl-x-bedup	Bedup
mhl-x-mawak	Mawak
mhl-x-mewok	Mewok
mhl-x-ulatapun	Ulatapun
mhm	Makhuwa-Moniga
mhn	Mócheno
mho	Mashi (Zambia)
mhp	Balinese Malay
mhq	Mandan
mhr	Восточный Марийский
mhs	Buru (Indonesia)
mht	Mandahuaca
mhu	Digaro-Mishmi
mhw	Mbukushu
mhw-x-mbukunamib	Mbukushu (Namibia)
mhw-x-mbukurundu	Mbukushu (Rundu)
mhx	Lhao Vo
mhy	Ma'anyan
mhy-x-balangan	Balangan
mhy-x-benualima	Dayak Ma'anyan Banua Lima
mhy-x-halong	Dayak Halong
mhy-x-pajusapulu	Paju Sapuluh
mhy-x-samihim	Samihim
mhz	Mor (Mor Islands)
mi	te reo Māori
mia	Miami
mib	Atatláhuca Mixtec
mic	Mi'kmaq
mid	رطنة
mie	Ocotepec Mixtec
mif	Mofu-Gudur
mig	San Miguel El Grande Mixtec
mih	Chayuco Mixtec
mii	Chigmecatitlán Mixtec
mij	Abar
mik	Mikasuki
mil	Peñoles Mixtec
mim	Alacatlatzala Mixtec
min	Minangkabau
mio	Pinotepa Nacional Mixtec
mip	Apasco-Apoala Mixtec
miq	Mískito
miq-HN-miskito	Miskito
mir	Isthmus Mixe
mis	Uncoded languages
mit	Southern Puebla Mixtec
miu	Cacaloxtepec Mixtec
miw	Akoye
mix	Mixtepec Mixtec
miy	Ayutla Mixtec
miz	Coatzospan Mixtec
mjc	San Juan Colorado Mixtec
mjd	Northwest Maidu
mjg	土族语
mjh	Mwera
mji	金门方言
mji-x-daoaodai	Dao Ao Dai
mji-x-daotuyen	Dao Tuyen
mji-x-lanten	Lanten
mjj	Mawak
mjk	Matukar
mjl	Mandeali
mjm	Medebur
mjn	Ma (Papua New Guinea)
mjo	Malankuravan
mjp	Malapandaram
mjq	Malaryan
mjr	Malavedan
mjs	Miship
mjt	Sauria Paharia
mju	Manna-Dora
mjv	Mannan
mjw	Karbi
mjx	Mahali
mjy	Mahican
mjz	Majhi
mk	македонски јазик
mka	Mbre
mkb	Mal Paharia
mkb-beng-malpaharia	Malpaharia
mkc	Siliput
mke	Mawchi
mke-x-vahudhi	Vahudhi
mkf	Miya
mkg	莫语 (China)
mki	ڌڪتي
mkj	Mokilese
mkk	Byep
mkl	Mokole
mkm	Moklen
mkn	Kupang Malay
mkn-x-lamankira	Timur Lamankira
mkn-x-timurkupan	Timur Kupang
mko	Mingang Doso
mkp	Moikodi
mkp-x-doriri	Doriri
mkq	Bay Miwok
mkr	Malas
mkr-x-simbukanam	Simbukanam
mks	Silacayoapan Mixtec
mkt	Vamale
mku	Konyanka Maninka
mkv	Mafea
mkw	Kituba (Congo)
mkx	Kinamiging Manobo
mky	East Makian
mkz	Makasae
ml	മലയാളം
mla	Malo
mlb	Mbule
mlc	Cao Lan
mle	Manambu
mlf	Mal
mlh	Mape
mli	Malimpung
mlj	Miltu
mlk	Ilwana
mll	Malua Bay
mlm	仫佬
mln	Malango
mlo	Mlomp
mlp	Bargam
mlp-x-amse	Amse
mlp-x-anahwag	Anahwag
mlp-x-bunu	Bunu
mlp-x-ezaqham	Ezaq-ham
mlp-x-gabagsal	Gabagsal
mlp-x-kurum	Kurum
mlp-x-niyau	Niyau
mlp-x-selelai	Selelai
mlp-x-wasabamal	Wasabamal
mlq	Western Maninkakan
mlr	Vame
mls	Masalit
mlu	To'abaita
mlv	Motlav
mlw	Moloko
mlx	Malfaxal
mlz	Malaynon
mma	Mama
mmb	Momina
mmc	Michoacán Mazahua
mmd	毛南语
mme	Mae
mme-x-nsmllnambas	North Small Nambas
mmf	Mundat
mmg	North Ambrym
mmh	Mehináku
mmi	Musar
mmj	Majhwar
mmk	Mukha-Dora
mml	克蔑话
mmm	Maii
mmn	Mamanwa
mmo	Mangga Buang
mmp	Siawi
mmq	Musak
mmq-x-amule	Amule
mmq-x-gariskang	Gariskang
mmq-x-icvieng	Icvieng
mmr	西部次方言
mmt	Malalamai
mmu	Mmaala
mmv	Miriti
mmw	Emae
mmx	Madak
mmy	Migaama
mmz	Mabaale
mn	Монгол хэл
mna	Mbula
mnb	Muna
mnc	满语
mnd	Mondé
mne	Naba
mnf	Mundani
mng	Eastern Mnong
mnh	Mono (Democratic Republic of Congo)
mni	Manipuri
mni-x-kakching	Kakching
mni-x-kwatha	Kwatha
mni-x-pangal	Pangal
mni-x-sekmai	Sekmai
mnj	Munji
mnk	Mandinka
mnl	Tiale
mnl-x-kemea	Kemea
mnm	Mapena
mnn	Southern Mnong
mnp	闽北
mnq	Minriq
mnr	Mono (USA)
mns	Мансийский
mnu	Mer
mnu-x-gua	Gua
mnu-x-juabeta	Juabeta
mnv	Rennell-Bellona
mnw	Mon
mnx	Manikion
mny	Manyawa
mnz	Moni
moa	Mwan
moc	Mocoví
mod	Mobilian
moe	Montagnais
mog	Mongondow
mog-x-boroko	Boroko
moh	Mohawk
moi	Mboi
moj	Monzombo
mok	Morori
mom	Mangue
moo	Monom
mop	Mopán Maya
moq	Mor (Bomberai Peninsula)
mor	Moro
mos	Mossi
mot	Barí
mot-VE-bari	Bari
mou	Mogum
mov	Mohave
mow	Moi (Congo)
mox	Molima
moy	Shekkacho
moz	Mokilko
mpa	Mpoto
mpb	Mullukmulluk
